,date,place.name,place.country,periods.tempF,periods.feelslikeF,periods.humidity,Meter,kWh,day,month,year,month_date,season,hypo_temp,hypo_usage
0,2021-01-01,new york,us,39.94,39.94,62,Meter #98271584,65.5,1,1,2021,101.0,winter,39.94,72.5850663243402
1,2021-01-02,new york,us,52.54,52.54,62,Meter #98271584,74.2,2,1,2021,102.0,winter,52.54,59.2131795455999
2,2021-01-03,new york,us,37.8,31.51,86,Meter #98271584,76.46,3,1,2021,103.0,winter,37.8,74.85616455501514
3,2021-01-04,new york,us,44.39,42.7,67,Meter #98271584,59.16,4,1,2021,104.0,winter,44.39,67.86245551756286
4,2021-01-05,new york,us,40.32,40.32,69,Meter #98271584,60.9,5,1,2021,105.0,winter,40.32,72.18178719926708
5,2021-01-06,new york,us,43.2,40.98,50,Meter #98271584,68.1,6,1,2021,106.0,winter,43.2,69.125355935555
6,2021-01-07,new york,us,42.36,40.92,44,Meter #98271584,69.92,7,1,2021,107.0,winter,42.36,70.01681505413771
7,2021-01-08,new york,us,37.32,34.49,52,Meter #98271584,73.77,8,1,2021,108.0,winter,37.32,75.36556976563381
8,2021-01-09,new york,us,37.15,33.15,44,Meter #98271584,112.7,9,1,2021,109.0,winter,37.15,75.54598411106127
9,2021-01-10,new york,us,39.3,39.3,44,Meter #98271584,112.85,10,1,2021,110.0,winter,39.3,73.26427327183177
10,2021-01-11,new york,us,34.95,34.95,60,Meter #98271584,97.83,11,1,2021,111.0,winter,34.95,77.88075799306354
11,2021-01-12,new york,us,44.5,44.5,48,Meter #98271584,72.88,12,1,2021,112.0,winter,44.5,67.74571682346276
12,2021-01-13,new york,us,43.32,41.75,51,Meter #98271584,69.91,13,1,2021,113.0,winter,43.32,68.99800463290035
13,2021-01-14,new york,us,48.28,48.28,55,Meter #98271584,59.04,14,1,2021,114.0,winter,48.28,63.73415078984067
14,2021-01-15,new york,us,42.84,38.62,80,Meter #98271584,60.03,15,1,2021,115.0,winter,42.84,69.50740984351901
15,2021-01-16,new york,us,45.0,43.2,86,Meter #98271584,67.69,16,1,2021,116.0,winter,45.0,67.21508639573497
16,2021-01-17,new york,us,43.11,38.75,50,Meter #98271584,71.1,17,1,2021,117.0,winter,43.11,69.22086941254602
17,2021-01-18,new york,us,45.16,40.28,51,Meter #98271584,57.77,18,1,2021,118.0,winter,45.16,67.04528465886207
18,2021-01-19,new york,us,43.19,39.5,43,Meter #98271584,60.65,19,1,2021,119.0,winter,43.19,69.13596854410957
19,2021-01-20,new york,us,41.41,38.39,49,Meter #98271584,76.78,20,1,2021,120.0,winter,41.41,71.0250128668205
20,2021-01-21,new york,us,39.3,34.34,49,Meter #98271584,88.05,21,1,2021,121.0,winter,39.3,73.26427327183177
21,2021-01-22,new york,us,44.02,39.17,41,Meter #98271584,64.36,22,1,2021,122.0,winter,44.02,68.25512203408144
22,2021-01-23,new york,us,33.93,28.6,38,Meter #98271584,91.34,23,1,2021,123.0,winter,33.93,78.96324406562823
23,2021-01-24,new york,us,32.33,28.09,35,Meter #98271584,99.53,24,1,2021,124.0,winter,32.33,80.66126143435716
24,2021-01-25,new york,us,36.49,32.66,37,Meter #98271584,83.78,25,1,2021,125.0,winter,36.49,76.24641627566194
25,2021-01-26,new york,us,35.07,30.14,64,Meter #98271584,77.92,26,1,2021,126.0,winter,35.07,77.75340669040887
26,2021-01-27,new york,us,37.89,34.55,62,Meter #98271584,77.89,27,1,2021,127.0,winter,37.89,74.76065107802414
27,2021-01-28,new york,us,36.3,32.42,41,Meter #98271584,89.52,28,1,2021,128.0,winter,36.3,76.44805583819851
28,2021-01-29,new york,us,26.11,19.03,44,Meter #98271584,106.97,29,1,2021,129.0,winter,26.11,87.26230395529086
29,2021-01-30,new york,us,29.43,26.2,48,Meter #98271584,103.83,30,1,2021,130.0,winter,29.43,83.73891791517835
30,2021-01-31,new york,us,25.86,20.22,69,Meter #98271584,96.95,31,1,2021,131.0,winter,25.86,87.52761916915476
31,2021-02-01,new york,us,29.93,21.27,93,Meter #98271584,83.75,1,2,2021,201.0,winter,29.93,83.20828748745055
32,2021-02-02,new york,us,33.9,30.22,88,Meter #98271584,80.28,2,2,2021,202.0,winter,33.9,78.9950818912919
33,2021-02-03,new york,us,37.36,37.36,64,Meter #98271584,85.55,3,2,2021,203.0,winter,37.36,75.3231193314156
34,2021-02-04,new york,us,41.07,38.81,48,Meter #98271584,76.94,4,2,2021,204.0,winter,41.07,71.3858415576754
35,2021-02-05,new york,us,42.29,42.29,78,Meter #98271584,72.42,5,2,2021,205.0,winter,42.29,70.09110331401959
36,2021-02-06,new york,us,43.24,37.2,33,Meter #98271584,79.25,6,2,2021,206.0,winter,43.24,69.0829055013368
37,2021-02-07,new york,us,33.77,28.79,92,Meter #98271584,85.22,7,2,2021,207.0,winter,33.77,79.13304580250113
38,2021-02-08,new york,us,35.17,35.17,37,Meter #98271584,90.04,8,2,2021,208.0,winter,35.17,77.64728060486331
39,2021-02-09,new york,us,33.8,29.18,80,Meter #98271584,87.62,9,2,2021,209.0,winter,33.8,79.10120797683746
40,2021-02-10,new york,us,33.23,29.89,47,Meter #98271584,82.49,10,2,2021,210.0,winter,33.23,79.70612666444714
41,2021-02-11,new york,us,31.15,31.15,74,Meter #98271584,83.17,11,2,2021,211.0,winter,31.15,81.91354924379473
42,2021-02-12,new york,us,29.17,29.17,43,Meter #98271584,86.01,12,2,2021,212.0,winter,29.17,84.01484573759679
43,2021-02-13,new york,us,30.74,23.45,54,Meter #98271584,88.94,13,2,2021,213.0,winter,30.74,82.34866619453153
44,2021-02-14,new york,us,36.23,32.74,69,Meter #98271584,82.21,14,2,2021,214.0,winter,36.23,76.5223440980804
45,2021-02-15,new york,us,36.03,32.51,69,Meter #98271584,72.35,15,2,2021,215.0,winter,36.03,76.7345962691715
46,2021-02-16,new york,us,44.58,41.54,89,Meter #98271584,68.34,16,2,2021,216.0,winter,44.58,67.66081595502632
47,2021-02-17,new york,us,31.33,31.33,40,Meter #98271584,85.17,17,2,2021,217.0,winter,31.33,81.72252228981273
48,2021-02-18,new york,us,28.27,20.68,94,Meter #98271584,81.89,18,2,2021,218.0,winter,28.27,84.96998050750682
49,2021-02-19,new york,us,33.03,27.23,84,Meter #98271584,73.38,19,2,2021,219.0,winter,33.03,79.91837883553825
50,2021-02-20,new york,us,36.1,33.33,49,Meter #98271584,86.52,20,2,2021,220.0,winter,36.1,76.66030800928962
51,2021-02-21,new york,us,36.16,33.83,40,Meter #98271584,84.7,21,2,2021,221.0,winter,36.16,76.59663235796229
52,2021-02-22,new york,us,34.54,34.54,80,Meter #98271584,75.7,22,2,2021,222.0,winter,34.54,78.31587494380034
53,2021-02-23,new york,us,40.02,36.8,70,Meter #98271584,77.0,23,2,2021,223.0,winter,40.02,72.50016545590375
54,2021-02-24,new york,us,50.62,50.62,46,Meter #98271584,67.75,24,2,2021,224.0,winter,50.62,61.250800388074616
55,2021-02-25,new york,us,48.37,47.45,31,Meter #98271584,67.64,25,2,2021,225.0,winter,48.37,63.63863731284967
56,2021-02-26,new york,us,44.48,42.73,37,Meter #98271584,68.63,26,2,2021,226.0,winter,44.48,67.76694204057188
57,2021-02-27,new york,us,47.43,47.43,96,Meter #98271584,65.86,27,2,2021,227.0,winter,47.43,64.63622251697791
58,2021-02-28,new york,us,43.93,40.14,63,Meter #98271584,69.73,28,2,2021,228.0,winter,43.93,68.35063551107244
59,2021-03-01,new york,us,44.39,42.51,93,Meter #98271584,69.1,1,3,2021,301.0,winter,44.39,67.86245551756286
60,2021-03-02,new york,us,33.28,28.89,33,Meter #98271584,96.36,2,3,2021,302.0,winter,33.28,79.65306362167436
61,2021-03-03,new york,us,46.72,43.66,35,Meter #98271584,72.07,3,3,2021,303.0,winter,46.72,65.38971772435137
62,2021-03-04,new york,us,43.05,40.81,45,Meter #98271584,68.66,4,3,2021,304.0,winter,43.05,69.28454506387335
63,2021-03-05,new york,us,37.44,33.24,25,Meter #98271584,91.77,5,3,2021,305.0,winter,37.44,75.23821846297915
64,2021-03-06,new york,us,35.13,31.47,41,Meter #98271584,90.01,6,3,2021,306.0,winter,35.13,77.68973103908154
65,2021-03-07,new york,us,38.43,34.3,36,Meter #98271584,89.62,7,3,2021,307.0,winter,38.43,74.18757021607811
66,2021-03-08,new york,us,38.5,38.5,30,Meter #98271584,73.83,8,3,2021,308.0,winter,38.5,74.11328195619623
67,2021-03-09,new york,us,60.18,60.18,31,Meter #98271584,58.54,9,3,2021,309.0,winter,60.18,51.105146609919274
68,2021-03-10,new york,us,52.68,52.68,53,Meter #98271584,57.19,10,3,2021,310.0,winter,52.68,59.06460302583612
69,2021-03-11,new york,us,65.1,65.1,38,Meter #98271584,50.29,11,3,2021,311.0,winter,65.1,45.883743201077834
70,2021-03-12,new york,us,63.82,63.82,27,Meter #98271584,46.84,12,3,2021,312.0,winter,63.82,47.242157096060964
71,2021-03-13,new york,us,45.25,42.28,23,Meter #98271584,53.64,13,3,2021,313.0,winter,45.25,66.94977118187107
72,2021-03-14,new york,us,52.36,52.36,28,Meter #98271584,40.45,14,3,2021,314.0,winter,52.36,59.4042064995819
73,2021-03-15,new york,us,34.33,30.11,25,Meter #98271584,71.88,15,3,2021,315.0,winter,34.33,78.538739723446
74,2021-03-16,new york,us,34.2,34.2,38,Meter #98271584,68.08,16,3,2021,316.0,winter,34.2,78.67670363465523
75,2021-03-17,new york,us,42.7,42.7,74,Meter #98271584,54.71,17,3,2021,317.0,winter,42.7,69.6559863632828
76,2021-03-18,new york,us,44.96,43.14,92,Meter #98271584,49.77,18,3,2021,318.0,winter,44.96,67.25753682995318
77,2021-03-19,new york,us,39.17,35.62,34,Meter #98271584,58.06,19,3,2021,319.0,winter,39.17,73.402237183041
