observation_date,APUS12A72610
2015-12-01,0.182
2016-01-01,0.186
2016-02-01,0.182
2016-03-01,0.187
2016-04-01,0.188
2016-05-01,0.177
2016-06-01,0.190
2016-07-01,0.191
2016-08-01,0.191
2016-09-01,0.191
2016-10-01,0.179
2016-11-01,0.178
2016-12-01,0.192
2017-01-01,0.189
2017-02-01,0.194
2017-03-01,0.192
2017-04-01,0.189
2017-05-01,0.202
2017-06-01,0.208
2017-07-01,0.205
2017-08-01,0.201
2017-09-01,0.203
2017-10-01,0.190
2017-11-01,0.200
2017-12-01,0.208
2018-01-01,0.202
2018-02-01,0.198
2018-03-01,0.206
2018-04-01,0.203
2018-05-01,0.210
2018-06-01,0.217
2018-07-01,0.216
2018-08-01,0.208
2018-09-01,0.212
2018-10-01,0.206
2018-11-01,0.194
2018-12-01,0.193
2019-01-01,0.202
2019-02-01,0.196
2019-03-01,0.201
2019-04-01,0.197
2019-05-01,0.194
2019-06-01,0.211
2019-07-01,0.207
2019-08-01,0.202
2019-09-01,0.205
2019-10-01,0.194
2019-11-01,0.197
2019-12-01,0.193
2020-01-01,0.199
2020-02-01,0.201
2020-03-01,0.198
2020-04-01,0.195
2020-05-01,0.199
2020-06-01,0.223
2020-07-01,0.218
2020-08-01,0.209
2020-09-01,0.211
2020-10-01,0.202
2020-11-01,0.201
2020-12-01,0.211
2021-01-01,0.213
2021-02-01,0.219
2021-03-01,0.188
2021-04-01,0.208
2021-05-01,0.214
2021-06-01,0.222
2021-07-01,0.216
2021-08-01,0.226
2021-09-01,0.222
2021-10-01,0.214
2021-11-01,0.207
2021-12-01,0.200
2022-01-01,0.256
2022-02-01,0.196
2022-03-01,0.225
2022-04-01,0.235
2022-05-01,0.241
2022-06-01,0.248
2022-07-01,0.232
2022-08-01,0.249
2022-09-01,0.245
2022-10-01,0.235
2022-11-01,0.232
2022-12-01,0.231
