observation_date	APUS12A72610	realtime_start_date	realtime_end_date
1978-11-01	0.089	2019-07-11	.
1978-12-01	0.090	2019-07-11	.
1979-01-01	0.088	2019-07-11	.
1979-02-01	0.089	2019-07-11	.
1979-03-01	0.089	2019-07-11	.
1979-04-01	0.091	2019-07-11	.
1979-05-01	0.095	2019-07-11	.
1979-06-01	0.103	2019-07-11	.
1979-07-01	0.106	2019-07-11	.
1979-08-01	0.108	2019-07-11	.
1979-09-01	0.109	2019-07-11	.
1979-10-01	0.109	2019-07-11	.
1979-11-01	0.100	2019-07-11	.
1979-12-01	0.101	2019-07-11	.
1980-01-01	0.104	2019-07-11	.
1980-02-01	0.107	2019-07-11	.
1980-03-01	0.107	2019-07-11	.
1980-04-01	0.105	2019-07-11	.
1980-05-01	0.107	2019-07-11	.
1980-06-01	0.117	2019-07-11	.
1980-07-01	0.121	2019-07-11	.
1980-08-01	0.121	2019-07-11	.
1980-09-01	0.122	2019-07-11	.
1980-10-01	0.118	2019-07-11	.
1980-11-01	0.114	2019-07-11	.
1980-12-01	0.121	2019-07-11	.
1981-01-01	0.123	2019-07-11	.
1981-02-01	0.126	2019-07-11	.
1981-03-01	0.129	2019-07-11	.
1981-04-01	0.136	2019-07-11	.
1981-05-01	0.133	2019-07-11	.
1981-06-01	0.145	2019-07-11	.
1981-07-01	0.142	2019-07-11	.
1981-08-01	0.145	2019-07-11	.
1981-09-01	0.145	2019-07-11	.
1981-10-01	0.141	2019-07-11	.
1981-11-01	0.135	2019-07-11	.
1981-12-01	0.137	2019-07-11	.
1982-01-01	0.135	2019-07-11	.
1982-02-01	0.130	2019-07-11	.
1982-03-01	0.134	2019-07-11	.
1982-04-01	0.137	2019-07-11	.
1982-05-01	0.137	2019-07-11	.
1982-06-01	0.146	2019-07-11	.
1982-07-01	0.144	2019-07-11	.
1982-08-01	0.146	2019-07-11	.
1982-09-01	0.147	2019-07-11	.
1982-10-01	0.145	2019-07-11	.
1982-11-01	0.140	2019-07-11	.
1982-12-01	0.140	2019-07-11	.
1983-01-01	0.140	2019-07-11	.
1983-02-01	0.138	2019-07-11	.
1983-03-01	0.143	2019-07-11	.
1983-04-01	0.140	2019-07-11	.
1983-05-01	0.140	2019-07-11	.
1983-06-01	0.143	2019-07-11	.
1983-07-01	0.146	2019-07-11	.
1983-08-01	0.148	2019-07-11	.
1983-09-01	0.148	2019-07-11	.
1983-10-01	0.148	2019-07-11	.
1983-11-01	0.148	2019-07-11	.
1983-12-01	0.144	2019-07-11	.
1984-01-01	0.144	2019-07-11	.
1984-02-01	0.146	2019-07-11	.
1984-03-01	0.147	2019-07-11	.
1984-04-01	0.149	2019-07-11	.
1984-05-01	0.147	2019-07-11	.
1984-06-01	0.152	2019-07-11	.
1984-07-01	0.157	2019-07-11	.
1984-08-01	0.157	2019-07-11	.
1984-09-01	0.160	2019-07-11	.
1984-10-01	0.155	2019-07-11	.
1984-11-01	0.156	2019-07-11	.
1984-12-01	0.152	2019-07-11	.
1985-01-01	0.153	2019-07-11	.
1985-02-01	0.152	2019-07-11	.
1985-03-01	0.152	2019-07-11	.
1985-04-01	0.152	2019-07-11	.
1985-05-01	0.149	2019-07-11	.
1985-06-01	0.154	2019-07-11	.
1985-07-01	0.155	2019-07-11	.
1985-08-01	0.155	2019-07-11	.
1985-09-01	.	2019-07-11	.
1985-10-01	0.151	2019-07-11	.
1985-11-01	0.149	2019-07-11	.
1985-12-01	0.147	2019-07-11	.
1986-01-01	0.149	2019-07-11	.
1986-02-01	0.123	2019-07-11	.
1986-03-01	0.122	2019-07-11	.
1986-04-01	0.120	2019-07-11	.
1986-05-01	0.117	2019-07-11	.
1986-06-01	0.133	2019-07-11	.
1986-07-01	0.130	2019-07-11	.
1986-08-01	0.128	2019-07-11	.
1986-09-01	0.128	2019-07-11	.
1986-10-01	0.113	2019-07-11	.
