Start Date,Meter,kWh
"1/1/2022 12:00:00 AM","Meter #98271584","0.46"
"1/1/2022 12:15:00 AM","Meter #98271584","0.51"
"1/1/2022 12:30:00 AM","Meter #98271584","0.52"
"1/1/2022 12:45:00 AM","Meter #98271584","0.49"
"1/1/2022 1:00:00 AM","Meter #98271584","0.45"
"1/1/2022 1:15:00 AM","Meter #98271584","0.45"
"1/1/2022 1:30:00 AM","Meter #98271584","0.43"
"1/1/2022 1:45:00 AM","Meter #98271584","0.39"
"1/1/2022 2:00:00 AM","Meter #98271584","0.39"
"1/1/2022 2:15:00 AM","Meter #98271584","0.40"
"1/1/2022 2:30:00 AM","Meter #98271584","1.04"
"1/1/2022 2:45:00 AM","Meter #98271584","1.36"
"1/1/2022 3:00:00 AM","Meter #98271584","0.36"
"1/1/2022 3:15:00 AM","Meter #98271584","0.44"
"1/1/2022 3:30:00 AM","Meter #98271584","0.45"
"1/1/2022 3:45:00 AM","Meter #98271584","0.46"
"1/1/2022 4:00:00 AM","Meter #98271584","0.41"
"1/1/2022 4:15:00 AM","Meter #98271584","0.44"
"1/1/2022 4:30:00 AM","Meter #98271584","0.44"
"1/1/2022 4:45:00 AM","Meter #98271584","0.47"
"1/1/2022 5:00:00 AM","Meter #98271584","0.45"
"1/1/2022 5:15:00 AM","Meter #98271584","0.61"
"1/1/2022 5:30:00 AM","Meter #98271584","0.60"
"1/1/2022 5:45:00 AM","Meter #98271584","0.57"
"1/1/2022 6:00:00 AM","Meter #98271584","0.65"
"1/1/2022 6:15:00 AM","Meter #98271584","0.55"
"1/1/2022 6:30:00 AM","Meter #98271584","0.53"
"1/1/2022 6:45:00 AM","Meter #98271584","1.70"
"1/1/2022 7:00:00 AM","Meter #98271584","1.08"
"1/1/2022 7:15:00 AM","Meter #98271584","0.56"
"1/1/2022 7:30:00 AM","Meter #98271584","0.41"
"1/1/2022 7:45:00 AM","Meter #98271584","0.42"
"1/1/2022 8:00:00 AM","Meter #98271584","0.44"
"1/1/2022 8:15:00 AM","Meter #98271584","0.38"
"1/1/2022 8:30:00 AM","Meter #98271584","0.33"
"1/1/2022 8:45:00 AM","Meter #98271584","0.35"
