Start Date,Meter,kWh
"8/21/2021 12:00:00 AM","Meter #98271584","2.45"
"8/21/2021 1:00:00 AM","Meter #98271584","3.17"
"8/21/2021 2:00:00 AM","Meter #98271584","2.25"
"8/21/2021 3:00:00 AM","Meter #98271584","1.78"
"8/21/2021 4:00:00 AM","Meter #98271584","1.17"
"8/21/2021 5:00:00 AM","Meter #98271584","1.23"
"8/21/2021 6:00:00 AM","Meter #98271584","2.30"
"8/21/2021 7:00:00 AM","Meter #98271584","1.70"
"8/21/2021 8:00:00 AM","Meter #98271584","2.65"
"8/21/2021 9:00:00 AM","Meter #98271584","2.61"
"8/21/2021 10:00:00 AM","Meter #98271584","2.62"
"8/21/2021 11:00:00 AM","Meter #98271584","4.13"
"8/21/2021 12:00:00 PM","Meter #98271584","2.67"
"8/21/2021 1:00:00 PM","Meter #98271584","2.91"
"8/21/2021 2:00:00 PM","Meter #98271584","2.81"
"8/21/2021 3:00:00 PM","Meter #98271584","2.70"
"8/21/2021 4:00:00 PM","Meter #98271584","2.55"
"8/21/2021 5:00:00 PM","Meter #98271584","3.14"
"8/21/2021 6:00:00 PM","Meter #98271584","3.17"
"8/21/2021 7:00:00 PM","Meter #98271584","3.13"
"8/21/2021 8:00:00 PM","Meter #98271584","2.40"
"8/21/2021 9:00:00 PM","Meter #98271584","1.93"
"8/21/2021 10:00:00 PM","Meter #98271584","1.84"
"8/21/2021 11:00:00 PM","Meter #98271584","3.27"
"8/22/2021 12:00:00 AM","Meter #98271584","1.71"
"8/22/2021 1:00:00 AM","Meter #98271584","1.55"
"8/22/2021 2:00:00 AM","Meter #98271584","1.58"
"8/22/2021 3:00:00 AM","Meter #98271584","1.51"
"8/22/2021 4:00:00 AM","Meter #98271584","0.83"
"8/22/2021 5:00:00 AM","Meter #98271584","1.01"
"8/22/2021 6:00:00 AM","Meter #98271584","1.94"
"8/22/2021 7:00:00 AM","Meter #98271584","1.51"
"8/22/2021 8:00:00 AM","Meter #98271584","1.61"
"8/22/2021 9:00:00 AM","Meter #98271584","3.33"
"8/22/2021 10:00:00 AM","Meter #98271584","1.57"
"8/22/2021 11:00:00 AM","Meter #98271584","1.50"
"8/22/2021 12:00:00 PM","Meter #98271584","1.49"
"8/22/2021 1:00:00 PM","Meter #98271584","1.55"
"8/22/2021 2:00:00 PM","Meter #98271584","1.47"
"8/22/2021 3:00:00 PM","Meter #98271584","3.02"
"8/22/2021 4:00:00 PM","Meter #98271584","1.50"
"8/22/2021 5:00:00 PM","Meter #98271584","1.51"
"8/22/2021 6:00:00 PM","Meter #98271584","1.85"
"8/22/2021 7:00:00 PM","Meter #98271584","2.07"
"8/22/2021 8:00:00 PM","Meter #98271584","1.52"
"8/22/2021 9:00:00 PM","Meter #98271584","1.51"
"8/22/2021 10:00:00 PM","Meter #98271584","1.47"
"8/22/2021 11:00:00 PM","Meter #98271584","2.90"
"8/23/2021 12:00:00 AM","Meter #98271584","1.44"
"8/23/2021 1:00:00 AM","Meter #98271584","1.37"
"8/23/2021 2:00:00 AM","Meter #98271584","1.53"
"8/23/2021 3:00:00 AM","Meter #98271584","1.41"
"8/23/2021 4:00:00 AM","Meter #98271584","0.77"
"8/23/2021 5:00:00 AM","Meter #98271584","0.87"
"8/23/2021 6:00:00 AM","Meter #98271584","1.87"
"8/23/2021 7:00:00 AM","Meter #98271584","1.41"
"8/23/2021 8:00:00 AM","Meter #98271584","2.92"
"8/23/2021 9:00:00 AM","Meter #98271584","1.61"
"8/23/2021 10:00:00 AM","Meter #98271584","1.33"
"8/23/2021 11:00:00 AM","Meter #98271584","1.38"
"8/23/2021 12:00:00 PM","Meter #98271584","1.37"
"8/23/2021 1:00:00 PM","Meter #98271584","1.40"
"8/23/2021 2:00:00 PM","Meter #98271584","1.61"
"8/23/2021 3:00:00 PM","Meter #98271584","1.72"
"8/23/2021 4:00:00 PM","Meter #98271584","3.06"
"8/23/2021 5:00:00 PM","Meter #98271584","1.69"
"8/23/2021 6:00:00 PM","Meter #98271584","2.12"
"8/23/2021 7:00:00 PM","Meter #98271584","2.15"
"8/23/2021 8:00:00 PM","Meter #98271584","1.75"
"8/23/2021 9:00:00 PM","Meter #98271584","1.60"
"8/23/2021 10:00:00 PM","Meter #98271584","1.64"
"8/23/2021 11:00:00 PM","Meter #98271584","1.52"
"8/24/2021 12:00:00 AM","Meter #98271584","1.61"
"8/24/2021 1:00:00 AM","Meter #98271584","1.41"
"8/24/2021 2:00:00 AM","Meter #98271584","2.93"
"8/24/2021 3:00:00 AM","Meter #98271584","1.37"
"8/24/2021 4:00:00 AM","Meter #98271584","0.74"
"8/24/2021 5:00:00 AM","Meter #98271584","0.90"
"8/24/2021 6:00:00 AM","Meter #98271584","1.89"
"8/24/2021 7:00:00 AM","Meter #98271584","1.53"
"8/24/2021 8:00:00 AM","Meter #98271584","2.07"
"8/24/2021 9:00:00 AM","Meter #98271584","2.46"
"8/24/2021 10:00:00 AM","Meter #98271584","2.26"
"8/24/2021 11:00:00 AM","Meter #98271584","3.58"
"8/24/2021 12:00:00 PM","Meter #98271584","2.01"
"8/24/2021 1:00:00 PM","Meter #98271584","2.06"
"8/24/2021 2:00:00 PM","Meter #98271584","2.29"
