,date,place.name,place.country,periods.tempF,periods.feelslikeF,periods.humidity,Meter,kWh,day,month,year,month_date,season,hypo_temp,hypo_usage
0,2021-01-01,new york,us,39.94,39.94,62,Meter #98271584,65.5,1,1,2021,101.0,winter,49.94,61.972457769784405
1,2021-01-02,new york,us,52.54,52.54,62,Meter #98271584,74.2,2,1,2021,102.0,winter,62.54,48.60057099104411
2,2021-01-03,new york,us,37.8,31.51,86,Meter #98271584,76.46,3,1,2021,103.0,winter,47.8,64.24355600045935
3,2021-01-04,new york,us,44.39,42.7,67,Meter #98271584,59.16,4,1,2021,104.0,winter,54.39,57.24984696300708
4,2021-01-05,new york,us,40.32,40.32,69,Meter #98271584,60.9,5,1,2021,105.0,winter,50.32,61.569178644711286
5,2021-01-06,new york,us,43.2,40.98,50,Meter #98271584,68.1,6,1,2021,106.0,winter,53.2,58.512747380999215
6,2021-01-07,new york,us,42.36,40.92,44,Meter #98271584,69.92,7,1,2021,107.0,winter,52.36,59.4042064995819
7,2021-01-08,new york,us,37.32,34.49,52,Meter #98271584,73.77,8,1,2021,108.0,winter,47.32,64.75296121107803
8,2021-01-09,new york,us,37.15,33.15,44,Meter #98271584,112.7,9,1,2021,109.0,winter,47.15,64.93337555650547
9,2021-01-10,new york,us,39.3,39.3,44,Meter #98271584,112.85,10,1,2021,110.0,winter,49.3,62.65166471727598
10,2021-01-11,new york,us,34.95,34.95,60,Meter #98271584,97.83,11,1,2021,111.0,winter,44.95,67.26814943850775
11,2021-01-12,new york,us,44.5,44.5,48,Meter #98271584,72.88,12,1,2021,112.0,winter,54.5,57.133108268906966
12,2021-01-13,new york,us,43.32,41.75,51,Meter #98271584,69.91,13,1,2021,113.0,winter,53.32,58.38539607834455
13,2021-01-14,new york,us,48.28,48.28,55,Meter #98271584,59.04,14,1,2021,114.0,winter,58.28,53.12154223528487
14,2021-01-15,new york,us,42.84,38.62,80,Meter #98271584,60.03,15,1,2021,115.0,winter,52.84,58.89480128896322
15,2021-01-16,new york,us,45.0,43.2,86,Meter #98271584,67.69,16,1,2021,116.0,winter,55.0,56.60247784117917
16,2021-01-17,new york,us,43.11,38.75,50,Meter #98271584,71.1,17,1,2021,117.0,winter,53.11,58.60826085799022
17,2021-01-18,new york,us,45.16,40.28,51,Meter #98271584,57.77,18,1,2021,118.0,winter,55.16,56.43267610430629
18,2021-01-19,new york,us,43.19,39.5,43,Meter #98271584,60.65,19,1,2021,119.0,winter,53.19,58.523359989553775
19,2021-01-20,new york,us,41.41,38.39,49,Meter #98271584,76.78,20,1,2021,120.0,winter,51.41,60.412404312264705
20,2021-01-21,new york,us,39.3,34.34,49,Meter #98271584,88.05,21,1,2021,121.0,winter,49.3,62.65166471727598
21,2021-01-22,new york,us,44.02,39.17,41,Meter #98271584,64.36,22,1,2021,122.0,winter,54.02,57.64251347952564
22,2021-01-23,new york,us,33.93,28.6,38,Meter #98271584,91.34,23,1,2021,123.0,winter,43.93,68.35063551107244
23,2021-01-24,new york,us,32.33,28.09,35,Meter #98271584,99.53,24,1,2021,124.0,winter,42.33,70.04865287980137
24,2021-01-25,new york,us,36.49,32.66,37,Meter #98271584,83.78,25,1,2021,125.0,winter,46.49,65.63380772110615
25,2021-01-26,new york,us,35.07,30.14,64,Meter #98271584,77.92,26,1,2021,126.0,winter,45.07,67.14079813585307
26,2021-01-27,new york,us,37.89,34.55,62,Meter #98271584,77.89,27,1,2021,127.0,winter,47.89,64.14804252346835
27,2021-01-28,new york,us,36.3,32.42,41,Meter #98271584,89.52,28,1,2021,128.0,winter,46.3,65.83544728364271
28,2021-01-29,new york,us,26.11,19.03,44,Meter #98271584,106.97,29,1,2021,129.0,winter,36.11,76.64969540073507
29,2021-01-30,new york,us,29.43,26.2,48,Meter #98271584,103.83,30,1,2021,130.0,winter,39.43,73.12630936062254
30,2021-01-31,new york,us,25.86,20.22,69,Meter #98271584,96.95,31,1,2021,131.0,winter,35.86,76.91501061459897
31,2021-02-01,new york,us,29.93,21.27,93,Meter #98271584,83.75,1,2,2021,201.0,winter,39.93,72.59567893289476
