,place.name,place.country,periods.dateTimeISO,periods.tempF,periods.feelslikeF,periods.humidity
0,new york,us,2021-01-01T12:00:00-05:00,39.94,39.94,62
1,new york,us,2021-01-02T12:00:00-05:00,52.54,52.54,62
2,new york,us,2021-01-03T12:00:00-05:00,37.8,31.51,86
3,new york,us,2021-01-04T12:00:00-05:00,44.39,42.7,67
4,new york,us,2021-01-05T12:00:00-05:00,40.32,40.32,69
5,new york,us,2021-01-06T12:00:00-05:00,43.2,40.98,50
6,new york,us,2021-01-07T12:00:00-05:00,42.36,40.92,44
7,new york,us,2021-01-08T12:00:00-05:00,37.32,34.49,52
8,new york,us,2021-01-09T12:00:00-05:00,37.15,33.15,44
9,new york,us,2021-01-10T12:00:00-05:00,39.3,39.3,44
10,new york,us,2021-01-11T12:00:00-05:00,34.95,34.95,60
11,new york,us,2021-01-12T12:00:00-05:00,44.5,44.5,48
12,new york,us,2021-01-13T12:00:00-05:00,43.32,41.75,51
13,new york,us,2021-01-14T12:00:00-05:00,48.28,48.28,55
14,new york,us,2021-01-15T12:00:00-05:00,42.84,38.62,80
15,new york,us,2021-01-16T12:00:00-05:00,45.0,43.2,86
16,new york,us,2021-01-17T12:00:00-05:00,43.11,38.75,50
17,new york,us,2021-01-18T12:00:00-05:00,45.16,40.28,51
18,new york,us,2021-01-19T12:00:00-05:00,43.19,39.5,43
19,new york,us,2021-01-20T12:00:00-05:00,41.41,38.39,49
20,new york,us,2021-01-21T12:00:00-05:00,39.3,34.34,49
21,new york,us,2021-01-22T12:00:00-05:00,44.02,39.17,41
22,new york,us,2021-01-23T12:00:00-05:00,33.93,28.6,38
23,new york,us,2021-01-24T12:00:00-05:00,32.33,28.09,35
24,new york,us,2021-01-25T12:00:00-05:00,36.49,32.66,37
25,new york,us,2021-01-26T12:00:00-05:00,35.07,30.14,64
26,new york,us,2021-01-27T12:00:00-05:00,37.89,34.55,62
27,new york,us,2021-01-28T12:00:00-05:00,36.3,32.42,41
28,new york,us,2021-01-29T12:00:00-05:00,26.11,19.03,44
29,new york,us,2021-01-30T12:00:00-05:00,29.43,26.2,48
30,new york,us,2021-01-31T12:00:00-05:00,25.86,20.22,69
31,new york,us,2021-02-01T12:00:00-05:00,29.93,21.27,93
32,new york,us,2021-02-02T12:00:00-05:00,33.9,30.22,88
33,new york,us,2021-02-03T12:00:00-05:00,37.36,37.36,64
34,new york,us,2021-02-04T12:00:00-05:00,41.07,38.81,48
35,new york,us,2021-02-05T12:00:00-05:00,42.29,42.29,78
36,new york,us,2021-02-06T12:00:00-05:00,43.24,37.2,33
37,new york,us,2021-02-07T12:00:00-05:00,33.77,28.79,92
38,new york,us,2021-02-08T12:00:00-05:00,35.17,35.17,37
39,new york,us,2021-02-09T12:00:00-05:00,33.8,29.18,80
40,new york,us,2021-02-10T12:00:00-05:00,33.23,29.89,47
41,new york,us,2021-02-11T12:00:00-05:00,31.15,31.15,74
42,new york,us,2021-02-12T12:00:00-05:00,29.17,29.17,43
43,new york,us,2021-02-13T12:00:00-05:00,30.74,23.45,54
44,new york,us,2021-02-14T12:00:00-05:00,36.23,32.74,69
45,new york,us,2021-02-15T12:00:00-05:00,36.03,32.51,69
46,new york,us,2021-02-16T12:00:00-05:00,44.58,41.54,89
47,new york,us,2021-02-17T12:00:00-05:00,31.33,31.33,40
48,new york,us,2021-02-18T12:00:00-05:00,28.27,20.68,94
49,new york,us,2021-02-19T12:00:00-05:00,33.03,27.23,84
50,new york,us,2021-02-20T12:00:00-05:00,36.1,33.33,49
51,new york,us,2021-02-21T12:00:00-05:00,36.16,33.83,40
52,new york,us,2021-02-22T12:00:00-05:00,34.54,34.54,80
53,new york,us,2021-02-23T12:00:00-05:00,40.02,36.8,70
54,new york,us,2021-02-24T12:00:00-05:00,50.62,50.62,46
55,new york,us,2021-02-25T12:00:00-05:00,48.37,47.45,31
56,new york,us,2021-02-26T12:00:00-05:00,44.48,42.73,37
57,new york,us,2021-02-27T12:00:00-05:00,47.43,47.43,96
58,new york,us,2021-02-28T12:00:00-05:00,43.93,40.14,63
59,new york,us,2021-03-01T12:00:00-05:00,44.39,42.51,93
60,new york,us,2021-03-02T12:00:00-05:00,33.28,28.89,33
61,new york,us,2021-03-03T12:00:00-05:00,46.72,43.66,35
62,new york,us,2021-03-04T12:00:00-05:00,43.05,40.81,45
63,new york,us,2021-03-05T12:00:00-05:00,37.44,33.24,25
64,new york,us,2021-03-06T12:00:00-05:00,35.13,31.47,41
65,new york,us,2021-03-07T12:00:00-05:00,38.43,34.3,36
66,new york,us,2021-03-08T12:00:00-05:00,38.5,38.5,30
67,new york,us,2021-03-09T12:00:00-05:00,60.18,60.18,31
68,new york,us,2021-03-10T12:00:00-05:00,52.68,52.68,53
69,new york,us,2021-03-11T12:00:00-05:00,65.1,65.1,38
70,new york,us,2021-03-12T12:00:00-05:00,63.82,63.82,27
71,new york,us,2021-03-13T12:00:00-05:00,45.25,42.28,23
72,new york,us,2021-03-14T12:00:00-04:00,52.36,52.36,28
73,new york,us,2021-03-15T12:00:00-04:00,34.33,30.11,25
