,place.name,place.country,periods.dateTimeISO,periods.tempF,periods.feelslikeF,periods.humidity
0,new york,us,2021-01-01T00:00:00-05:00,36.7,34.1,65
1,new york,us,2021-01-01T01:00:00-05:00,36.68,36.68,65
2,new york,us,2021-01-01T02:00:00-05:00,36.55,36.55,63
3,new york,us,2021-01-01T03:00:00-05:00,36.46,32.61,63
4,new york,us,2021-01-01T04:00:00-05:00,36.41,33.45,63
5,new york,us,2021-01-01T05:00:00-05:00,36.46,32.61,63
6,new york,us,2021-01-01T06:00:00-05:00,36.61,33.68,62
7,new york,us,2021-01-01T07:00:00-05:00,35.73,31.75,65
8,new york,us,2021-01-01T08:00:00-05:00,36.73,33.21,69
9,new york,us,2021-01-01T09:00:00-05:00,37.01,33.49,62
10,new york,us,2021-01-01T10:00:00-05:00,39.08,35.67,59
11,new york,us,2021-01-01T11:00:00-05:00,39.92,37.61,58
12,new york,us,2021-01-01T12:00:00-05:00,39.94,39.94,62
13,new york,us,2021-01-01T13:00:00-05:00,40.01,40.01,62
14,new york,us,2021-01-01T14:00:00-05:00,40.26,40.26,63
15,new york,us,2021-01-01T15:00:00-05:00,40.14,37.73,64
16,new york,us,2021-01-01T16:00:00-05:00,40.05,38.25,67
17,new york,us,2021-01-01T17:00:00-05:00,39.87,37.39,74
18,new york,us,2021-01-01T18:00:00-05:00,39.14,35.48,80
19,new york,us,2021-01-01T19:00:00-05:00,38.95,34.29,83
20,new york,us,2021-01-01T20:00:00-05:00,39.04,34.9,89
21,new york,us,2021-01-01T21:00:00-05:00,39.4,35.86,88
22,new york,us,2021-01-01T22:00:00-05:00,39.57,37.1,90
23,new york,us,2021-01-01T23:00:00-05:00,39.79,36.22,89
24,new york,us,2021-01-02T00:00:00-05:00,40.01,36.35,92
25,new york,us,2021-01-02T01:00:00-05:00,40.81,35.86,92
26,new york,us,2021-01-02T02:00:00-05:00,37.89,34.08,93
27,new york,us,2021-01-02T03:00:00-05:00,39.13,36.54,92
28,new york,us,2021-01-02T04:00:00-05:00,39.78,37.32,93
29,new york,us,2021-01-02T05:00:00-05:00,39.64,39.64,98
30,new york,us,2021-01-02T06:00:00-05:00,39.02,36.45,95
31,new york,us,2021-01-02T07:00:00-05:00,38.15,35.45,96
32,new york,us,2021-01-02T08:00:00-05:00,39.03,35.25,97
33,new york,us,2021-01-02T09:00:00-05:00,40.64,37.74,95
34,new york,us,2021-01-02T10:00:00-05:00,45.58,42.17,88
35,new york,us,2021-01-02T11:00:00-05:00,49.39,45.66,73
36,new york,us,2021-01-02T12:00:00-05:00,52.54,52.54,62
37,new york,us,2021-01-02T13:00:00-05:00,53.93,53.93,57
38,new york,us,2021-01-02T14:00:00-05:00,51.48,51.48,59
39,new york,us,2021-01-02T15:00:00-05:00,52.86,52.86,50
40,new york,us,2021-01-02T16:00:00-05:00,49.74,48.77,52
41,new york,us,2021-01-02T17:00:00-05:00,45.82,44.84,56
42,new york,us,2021-01-02T18:00:00-05:00,43.71,42.14,58
43,new york,us,2021-01-02T19:00:00-05:00,41.92,41.92,61
44,new york,us,2021-01-02T20:00:00-05:00,40.82,40.82,63
45,new york,us,2021-01-02T21:00:00-05:00,39.9,39.9,68
46,new york,us,2021-01-02T22:00:00-05:00,39.78,39.78,69
47,new york,us,2021-01-02T23:00:00-05:00,39.64,39.64,69
48,new york,us,2021-01-03T00:00:00-05:00,38.7,38.7,71
49,new york,us,2021-01-03T01:00:00-05:00,38.68,38.68,73
50,new york,us,2021-01-03T02:00:00-05:00,38.61,34.35,74
51,new york,us,2021-01-03T03:00:00-05:00,37.62,32.83,74
52,new york,us,2021-01-03T04:00:00-05:00,37.9,33.76,70
53,new york,us,2021-01-03T05:00:00-05:00,36.72,30.37,73
54,new york,us,2021-01-03T06:00:00-05:00,36.93,32.4,76
55,new york,us,2021-01-03T07:00:00-05:00,37.98,34.38,76
56,new york,us,2021-01-03T08:00:00-05:00,37.94,34.57,79
57,new york,us,2021-01-03T09:00:00-05:00,37.94,33.45,80
58,new york,us,2021-01-03T10:00:00-05:00,38.08,33.12,82
59,new york,us,2021-01-03T11:00:00-05:00,37.1,32.07,89
60,new york,us,2021-01-03T12:00:00-05:00,37.8,31.51,86
61,new york,us,2021-01-03T13:00:00-05:00,39.24,33.01,85
62,new york,us,2021-01-03T14:00:00-05:00,39.85,34.21,87
63,new york,us,2021-01-03T15:00:00-05:00,39.1,33.03,87
64,new york,us,2021-01-03T16:00:00-05:00,38.1,31.87,92
65,new york,us,2021-01-03T17:00:00-05:00,37.94,30.84,92
66,new york,us,2021-01-03T18:00:00-05:00,37.9,31.36,92
67,new york,us,2021-01-03T19:00:00-05:00,37.92,33.54,92
68,new york,us,2021-01-03T20:00:00-05:00,37.74,32.39,93
69,new york,us,2021-01-03T21:00:00-05:00,37.94,31.46,91
70,new york,us,2021-01-03T22:00:00-05:00,37.94,32.38,89
71,new york,us,2021-01-03T23:00:00-05:00,37.94,32.46,90
72,new york,us,2021-01-04T00:00:00-05:00,37.87,33.13,92
73,new york,us,2021-01-04T01:00:00-05:00,37.69,33.78,91
74,new york,us,2021-01-04T02:00:00-05:00,37.87,35.44,92
75,new york,us,2021-01-04T03:00:00-05:00,37.8,37.8,90
76,new york,us,2021-01-04T04:00:00-05:00,37.79,37.79,89
77,new york,us,2021-01-04T05:00:00-05:00,37.09,37.09,88
78,new york,us,2021-01-04T06:00:00-05:00,37.09,37.09,86
79,new york,us,2021-01-04T07:00:00-05:00,37.1,37.1,86
80,new york,us,2021-01-04T08:00:00-05:00,37.61,37.61,87
81,new york,us,2021-01-04T09:00:00-05:00,38.26,38.26,87
82,new york,us,2021-01-04T10:00:00-05:00,41.2,41.2,79
83,new york,us,2021-01-04T11:00:00-05:00,43.21,43.21,70
84,new york,us,2021-01-04T12:00:00-05:00,44.39,42.7,67
85,new york,us,2021-01-04T13:00:00-05:00,45.17,44.19,65
86,new york,us,2021-01-04T14:00:00-05:00,44.13,44.13,68
87,new york,us,2021-01-04T15:00:00-05:00,42.96,42.96,73
88,new york,us,2021-01-04T16:00:00-05:00,42.08,42.08,72
89,new york,us,2021-01-04T17:00:00-05:00,40.87,38.62,71
90,new york,us,2021-01-04T18:00:00-05:00,40.86,40.86,75
91,new york,us,2021-01-04T19:00:00-05:00,40.78,40.78,74
92,new york,us,2021-01-04T20:00:00-05:00,40.86,40.86,74
93,new york,us,2021-01-04T21:00:00-05:00,40.98,40.98,73
94,new york,us,2021-01-04T22:00:00-05:00,40.77,38.58,76
95,new york,us,2021-01-04T23:00:00-05:00,39.7,39.7,77
96,new york,us,2021-01-05T00:00:00-05:00,39.64,39.64,78
97,new york,us,2021-01-05T01:00:00-05:00,39.0,39.0,81
98,new york,us,2021-01-05T02:00:00-05:00,38.86,38.86,80
99,new york,us,2021-01-05T03:00:00-05:00,37.87,37.87,80
100,new york,us,2021-01-05T04:00:00-05:00,38.96,35.53,80
101,new york,us,2021-01-05T05:00:00-05:00,38.93,35.8,77
102,new york,us,2021-01-05T06:00:00-05:00,38.9,36.7,76
103,new york,us,2021-01-05T07:00:00-05:00,39.05,35.38,73
104,new york,us,2021-01-05T08:00:00-05:00,39.04,35.62,73
105,new york,us,2021-01-05T09:00:00-05:00,39.91,39.91,74
106,new york,us,2021-01-05T10:00:00-05:00,40.06,38.27,73
107,new york,us,2021-01-05T11:00:00-05:00,40.12,37.84,70
108,new york,us,2021-01-05T12:00:00-05:00,40.32,40.32,69
109,new york,us,2021-01-05T13:00:00-05:00,42.15,42.15,67
110,new york,us,2021-01-05T14:00:00-05:00,42.13,40.03,65
111,new york,us,2021-01-05T15:00:00-05:00,41.14,41.14,67
112,new york,us,2021-01-05T16:00:00-05:00,41.0,41.0,68
113,new york,us,2021-01-05T17:00:00-05:00,41.11,41.11,68
114,new york,us,2021-01-05T18:00:00-05:00,40.93,40.93,68
115,new york,us,2021-01-05T19:00:00-05:00,40.03,40.03,69
116,new york,us,2021-01-05T20:00:00-05:00,39.9,39.9,71
117,new york,us,2021-01-05T21:00:00-05:00,39.63,37.68,74
118,new york,us,2021-01-05T22:00:00-05:00,39.06,39.06,70
119,new york,us,2021-01-05T23:00:00-05:00,38.88,38.88,70
120,new york,us,2021-01-06T00:00:00-05:00,37.78,37.78,74
121,new york,us,2021-01-06T01:00:00-05:00,37.94,37.94,76
122,new york,us,2021-01-06T02:00:00-05:00,37.78,37.78,76
123,new york,us,2021-01-06T03:00:00-05:00,37.72,37.72,79
124,new york,us,2021-01-06T04:00:00-05:00,37.74,35.72,80
125,new york,us,2021-01-06T05:00:00-05:00,36.88,36.88,80
126,new york,us,2021-01-06T06:00:00-05:00,36.77,34.68,79
127,new york,us,2021-01-06T07:00:00-05:00,36.83,36.83,74
128,new york,us,2021-01-06T08:00:00-05:00,37.54,37.54,72
129,new york,us,2021-01-06T09:00:00-05:00,39.19,39.19,65
130,new york,us,2021-01-06T10:00:00-05:00,40.14,37.73,67
131,new york,us,2021-01-06T11:00:00-05:00,42.23,40.14,57
132,new york,us,2021-01-06T12:00:00-05:00,43.2,40.98,50
133,new york,us,2021-01-06T13:00:00-05:00,45.25,43.61,45
134,new york,us,2021-01-06T14:00:00-05:00,46.17,44.17,43
135,new york,us,2021-01-06T15:00:00-05:00,45.84,43.56,46
136,new york,us,2021-01-06T16:00:00-05:00,42.63,40.06,53
137,new york,us,2021-01-06T17:00:00-05:00,38.82,35.92,57
138,new york,us,2021-01-06T18:00:00-05:00,37.87,34.53,62
139,new york,us,2021-01-06T19:00:00-05:00,37.72,35.65,62
140,new york,us,2021-01-06T20:00:00-05:00,36.75,33.85,62
141,new york,us,2021-01-06T21:00:00-05:00,36.88,34.7,65
142,new york,us,2021-01-06T22:00:00-05:00,36.9,34.72,64
143,new york,us,2021-01-06T23:00:00-05:00,35.82,33.5,64
144,new york,us,2021-01-07T00:00:00-05:00,35.83,35.83,65
145,new york,us,2021-01-07T01:00:00-05:00,35.76,33.05,65
146,new york,us,2021-01-07T02:00:00-05:00,34.9,31.72,67
147,new york,us,2021-01-07T03:00:00-05:00,34.75,34.75,67
148,new york,us,2021-01-07T04:00:00-05:00,33.82,33.82,68
149,new york,us,2021-01-07T05:00:00-05:00,33.85,33.85,67
150,new york,us,2021-01-07T06:00:00-05:00,33.84,31.25,67
151,new york,us,2021-01-07T07:00:00-05:00,33.78,31.18,64
152,new york,us,2021-01-07T08:00:00-05:00,33.07,29.98,63
153,new york,us,2021-01-07T09:00:00-05:00,35.12,32.71,59
154,new york,us,2021-01-07T10:00:00-05:00,37.26,34.77,56
155,new york,us,2021-01-07T11:00:00-05:00,39.24,39.24,50
156,new york,us,2021-01-07T12:00:00-05:00,42.36,40.92,44
157,new york,us,2021-01-07T13:00:00-05:00,45.18,44.11,41
158,new york,us,2021-01-07T14:00:00-05:00,46.13,45.19,40
159,new york,us,2021-01-07T15:00:00-05:00,46.1,44.86,40
160,new york,us,2021-01-07T16:00:00-05:00,46.6,45.72,41
161,new york,us,2021-01-07T17:00:00-05:00,41.73,41.73,51
162,new york,us,2021-01-07T18:00:00-05:00,38.87,36.61,55
163,new york,us,2021-01-07T19:00:00-05:00,36.76,33.86,55
164,new york,us,2021-01-07T20:00:00-05:00,34.84,32.39,61
165,new york,us,2021-01-07T21:00:00-05:00,34.83,32.43,61
166,new york,us,2021-01-07T22:00:00-05:00,33.76,33.76,62
167,new york,us,2021-01-07T23:00:00-05:00,33.76,33.76,67
168,new york,us,2021-01-08T00:00:00-05:00,33.81,29.34,69
169,new york,us,2021-01-08T01:00:00-05:00,32.92,30.32,69
170,new york,us,2021-01-08T02:00:00-05:00,31.84,31.84,70
171,new york,us,2021-01-08T03:00:00-05:00,31.77,31.77,73
172,new york,us,2021-01-08T04:00:00-05:00,30.83,30.83,76
173,new york,us,2021-01-08T05:00:00-05:00,30.68,30.68,76
174,new york,us,2021-01-08T06:00:00-05:00,29.94,26.71,78
175,new york,us,2021-01-08T07:00:00-05:00,31.62,27.95,76
176,new york,us,2021-01-08T08:00:00-05:00,30.83,27.19,75
177,new york,us,2021-01-08T09:00:00-05:00,32.2,32.2,68
178,new york,us,2021-01-08T10:00:00-05:00,33.21,30.49,65
179,new york,us,2021-01-08T11:00:00-05:00,35.34,32.22,63
180,new york,us,2021-01-08T12:00:00-05:00,37.32,34.49,52
181,new york,us,2021-01-08T13:00:00-05:00,38.23,35.81,50
182,new york,us,2021-01-08T14:00:00-05:00,39.04,39.04,56
183,new york,us,2021-01-08T15:00:00-05:00,39.11,39.11,56
184,new york,us,2021-01-08T16:00:00-05:00,39.04,39.04,55
185,new york,us,2021-01-08T17:00:00-05:00,38.68,38.68,57
186,new york,us,2021-01-08T18:00:00-05:00,37.61,35.43,63
187,new york,us,2021-01-08T19:00:00-05:00,36.7,33.2,65
188,new york,us,2021-01-08T20:00:00-05:00,35.7,32.51,64
189,new york,us,2021-01-08T21:00:00-05:00,33.89,28.83,63
190,new york,us,2021-01-08T22:00:00-05:00,33.76,29.24,60
191,new york,us,2021-01-08T23:00:00-05:00,33.06,29.61,57
192,new york,us,2021-01-09T00:00:00-05:00,32.92,29.44,56
193,new york,us,2021-01-09T01:00:00-05:00,32.86,29.43,61
194,new york,us,2021-01-09T02:00:00-05:00,31.71,27.69,66
195,new york,us,2021-01-09T03:00:00-05:00,29.7,25.74,68
196,new york,us,2021-01-09T04:00:00-05:00,28.78,24.1,68
197,new york,us,2021-01-09T05:00:00-05:00,28.77,25.08,68
198,new york,us,2021-01-09T06:00:00-05:00,28.0,24.64,70
199,new york,us,2021-01-09T07:00:00-05:00,27.94,27.94,71
200,new york,us,2021-01-09T08:00:00-05:00,28.94,24.82,71
201,new york,us,2021-01-09T09:00:00-05:00,30.12,25.65,67
202,new york,us,2021-01-09T10:00:00-05:00,32.4,28.17,54
203,new york,us,2021-01-09T11:00:00-05:00,35.34,31.89,46
204,new york,us,2021-01-09T12:00:00-05:00,37.15,33.15,44
205,new york,us,2021-01-09T13:00:00-05:00,39.27,36.74,45
206,new york,us,2021-01-09T14:00:00-05:00,39.02,36.15,45
207,new york,us,2021-01-09T15:00:00-05:00,38.95,36.07,44
208,new york,us,2021-01-09T16:00:00-05:00,37.75,35.69,50
209,new york,us,2021-01-09T17:00:00-05:00,36.9,36.9,49
210,new york,us,2021-01-09T18:00:00-05:00,36.84,36.84,50
211,new york,us,2021-01-09T19:00:00-05:00,36.88,36.88,52
212,new york,us,2021-01-09T20:00:00-05:00,37.48,37.48,56
213,new york,us,2021-01-09T21:00:00-05:00,36.61,36.61,50
214,new york,us,2021-01-09T22:00:00-05:00,35.79,35.79,52
215,new york,us,2021-01-09T23:00:00-05:00,34.84,34.84,54
216,new york,us,2021-01-10T00:00:00-05:00,34.83,31.72,57
217,new york,us,2021-01-10T01:00:00-05:00,33.69,33.69,61
218,new york,us,2021-01-10T02:00:00-05:00,32.92,29.54,58
219,new york,us,2021-01-10T03:00:00-05:00,32.97,32.97,58
220,new york,us,2021-01-10T04:00:00-05:00,32.85,32.85,59
221,new york,us,2021-01-10T05:00:00-05:00,32.97,32.97,58
222,new york,us,2021-01-10T06:00:00-05:00,31.71,31.71,61
223,new york,us,2021-01-10T07:00:00-05:00,31.77,31.77,67
224,new york,us,2021-01-10T08:00:00-05:00,32.99,30.35,66
225,new york,us,2021-01-10T09:00:00-05:00,33.14,33.14,61
226,new york,us,2021-01-10T10:00:00-05:00,35.19,35.19,57
227,new york,us,2021-01-10T11:00:00-05:00,37.41,37.41,48
